ORIGINAL LABEL,OTT TAXON NAME,OTT TAXON ID,TAXONOMIC SOURCES
Drosophila neotestacea,Drosophila neotestacea,395953,ncbi:38839;gbif:5074785;irmng:10107188
Drosophila neutralis,Drosophila neutralis,264598,ncbi:937303;gbif:5074151;irmng:10923409
Drosophila nigella,Drosophila nigella,1051234,ncbi:252916;gbif:5074123;irmng:11405007
Drosophila nigribasis,Drosophila nigribasis,927153,ncbi:46820;gbif:5074059;irmng:10124663
Drosophila nigrohydei,Drosophila nigrohydei,1033313,ncbi:95450;gbif:5074111;irmng:10756211
Drosophila nigromaculata,Drosophila nigromaculata,223304,ncbi:198721;gbif:5073872;irmng:10124953
Drosophila nigrospiracula,Drosophila nigrospiracula,852862,ncbi:57910;gbif:5074065;irmng:10569688
Drosophila novamexicana,Drosophila novamexicana,787960,ncbi:47314;gbif:5074049;irmng:11227562
Drosophila obscura,Drosophila obscura,355241,ncbi:7282;gbif:5073565;irmng:11261639
Drosophila ochracea,Drosophila ochracea,39981,ncbi:48327;gbif:5074348;gbif:5074350;irmng:10124958;irmng:10971313
Drosophila orena,Drosophila orena,1082278,ncbi:7233;gbif:5074454;irmng:11037023
Drosophila pachea,Drosophila pachea,41808,ncbi:103846;gbif:5073579;irmng:10969946
Drosophila pallidifrons,Drosophila pallidifrons,412604,ncbi:88884;gbif:5073688;irmng:10125021
Drosophila parabipectinata,Drosophila parabipectinata,1069155,ncbi:186283;gbif:5075032;irmng:11242402
Drosophila paramelanica,Drosophila paramelanica,15302,ncbi:311477;gbif:5074179;irmng:10096346
Drosophila paranensis,Drosophila paranaensis,104619,ncbi:271083;gbif:5074796;irmng:10108220;irmng:11415468;irmng:10731965
Drosophila parisiena,Drosophila parisiena,158664,ncbi:214822;gbif:5073570;irmng:10568617
Drosophila paulistorum,Drosophila paulistorum,616768,ncbi:46793;gbif:5073786;irmng:10121207
Drosophila pectinitarsus,Drosophila pectinitarsus,93083,ncbi:504589;gbif:5074658;irmng:10565807
Drosophila pengi,Drosophila tsigana,506205,ncbi:65966;gbif:5073574;irmng:11005298;irmng:10568319
Drosophila perconosoma,Drosophila percnosoma,614357,ncbi:504590;gbif:5073519;gbif:5074895;irmng:11372048;irmng:11051711
Drosophila persimilis,Drosophila persimilis,1082274,ncbi:7234;gbif:5073624;irmng:10094384
Drosophila petalopeza,Drosophila petalopeza,796125,ncbi:58309;gbif:5074508;irmng:10125054
Drosophila picticornis,Drosophila picticornis,1082275,ncbi:7235;gbif:5073512;irmng:10711204
Drosophila pilimana,Drosophila pilimana,63092,ncbi:46824;gbif:5074412;irmng:10125058
Drosophila planitibia,Drosophila planitibia,1082270,ncbi:7236;gbif:5074160;irmng:10962992
Drosophila primaeva,Drosophila primaeva,301475,ncbi:46814;gbif:5074453;irmng:11185925
Drosophila prolatocilia,Drosophila prolaticilia,768537,ncbi:48351;gbif:5073672;irmng:10125332
Drosophila prosaltans,Drosophila prosaltans,167982,ncbi:30042;gbif:5073745;irmng:10125813
Drosophila pseudoobscura,Drosophila pseudoobscura,1082272,ncbi:7237;gbif:5074650;irmng:11425153
Drosophila pulaua,Drosophila pulaua,287229,ncbi:88885;gbif:5074727;irmng:10125334
Drosophila punalua,Drosophila punalua,301478,ncbi:46816;gbif:5074101;irmng:11353993
Drosophila putrida,Drosophila putrida,871280,ncbi:38840;gbif:5073889;irmng:10096347
Drosophila recens,Drosophila recens,1024511,ncbi:55946;gbif:5073861;irmng:11340353
Drosophila repleta,Drosophila repleta,167983,ncbi:30043;gbif:5073802;irmng:10698585;irmng:10889360;irmng:11328054
Drosophila residua,Drosophila residua,4419606,gbif:5074181;irmng:10993991
Drosophila rhopaloa,Drosophila rhopaloa,644198,ncbi:1041015;gbif:5073891;irmng:10124407
Drosophila robusta,Drosophila robusta,138599,ncbi:7257;gbif:5073766;irmng:10096349
Drosophila rufa,Drosophila rufa,583939,ncbi:67533;gbif:5073878;irmng:10448846
Drosophila saltans,Drosophila saltans,86627,ncbi:7273;gbif:5073680;irmng:10124409
Drosophila santomea,Drosophila santomea,549044,ncbi:129105;gbif:5075094;irmng:10946370
Drosophila sechellia,Drosophila sechellia,1082282,ncbi:7238;gbif:5073691;irmng:11146926
Drosophila sejuncta,Drosophila sejuncta,4419345,ncbi:48328;gbif:5074262;irmng:10124241
Drosophila serrata,Drosophila serrata,86632,ncbi:7274;gbif:5074180;gbif:5979611;irmng:10109367
Drosophila setosimentum,Drosophila setosimentum,301480,ncbi:46817;gbif:5073595;irmng:11202772
Drosophila siamana,Drosophila siamana,616203,ncbi:157059;gbif:5074713;irmng:10560053
Drosophila silvestris,Drosophila silvestris,501104,ncbi:47010;gbif:8350787;irmng:10445074
Drosophila simulans,Drosophila simulans,660828,ncbi:7240;worms:987723;gbif:5075039;irmng:11301569
Drosophila sordidula,Drosophila sordidula,498685,ncbi:55950;gbif:5074047;irmng:11119396
Drosophila spenceri,Drosophila spenceri,794690,ncbi:209069;gbif:5075023;irmng:10135572
Drosophila sproati,Drosophila sproati,355253,ncbi:7289;gbif:5074444;irmng:11037651
Drosophila straubae,Drosophila straubae,158663,ncbi:214823;gbif:5073554;irmng:10906223
Drosophila sturtevanti,Drosophila sturtevanti,167990,ncbi:30047;gbif:5073596;irmng:10918834
Drosophila subobscura,Drosophila subobscura,660827,ncbi:7241;gbif:5074662;irmng:11452639
Drosophila subsilvestris,Drosophila subsilvestris,1082284,ncbi:7239;gbif:5074210;irmng:10124412
Drosophila sucinea,Drosophila sucinea,616770,ncbi:46791;gbif:5075042;irmng:11403168
Drosophila sulfurigaster sulfurigaster,Drosophila sulfurigaster sulfurigaster,763544,ncbi:89890
Drosophila suzukii,Drosophila suzukii,227752,ncbi:28584;gbif:5073820;irmng:10717948
Drosophila takahashii,Drosophila takahashii,1008043,ncbi:29030;gbif:5073470;irmng:10921900
Drosophila tanythrix,Drosophila tanythrix,63100,ncbi:46827;gbif:5073701;irmng:11249342
Drosophila teissieri,Drosophila teissieri,660824,ncbi:7243;gbif:5074619;irmng:10934632
Drosophila texana,Drosophila americana texana,12789,ncbi:40372;gbif:5074911;irmng:11129692
Drosophila tolteca,Drosophila tolteca,138612,ncbi:7259;gbif:5074676;irmng:10124415
Drosophila torula,Drosophila torula,4420020,ncbi:1226646;gbif:5073887;irmng:10126453
Drosophila tristis,Drosophila tristis,355249,ncbi:7284;gbif:5073773;irmng:11302356
Drosophila tropicalis,Drosophila tropicalis,616777,ncbi:46794;gbif:5075005;irmng:10124469;irmng:10971841
Drosophila unicula,Drosophila unicula,314820,ncbi:937324;gbif:5073525;irmng:11256595
Drosophila villosipedis,Drosophila villosipedis,39977,ncbi:48324;gbif:5074927;irmng:10126083
Drosophila virilis,Drosophila virilis,660821,ncbi:7244;gbif:5073510;irmng:10929400;irmng:10095488
Drosophila wassermani,Drosophila wassermani,41809,ncbi:103847;gbif:5074646;irmng:10445716
Drosophila willistoni,Drosophila willistoni,607964,ncbi:7260;gbif:5074596;irmng:10094386;irmng:10124205
Drosophila yakuba,Drosophila yakuba,660820,ncbi:7245;gbif:5073424;irmng:10124206
Hirtodrosophila alboralis,Hirtodrosophila alboralis,192066,ncbi:93395;gbif:1560074;irmng:11219503
Hirtodrosophila duncani,Hirtodrosophila duncani,765426,ncbi:745173;gbif:1560072;irmng:10095260
Hirtodrosophila quardivittata,Hirtodrosophila quadrivittata,939609,ncbi:93404;gbif:1560032;irmng:10929353
Leucophenga maculata,Leucophenga maculata,742404,ncbi:30051;gbif:1561308;irmng:11377534
Liodrosophila aerea,Liodrosophila aerea,955865,ncbi:7295;gbif:1560961;irmng:11036760
Microdrosophila purpurata,Microdrosophila purpurata,4422479,gbif:1561992;irmng:10123428
Mycodrosophila claytonae,Mycodrosophila claytonae,543104,ncbi:745180;gbif:1557564;irmng:10565177
Mycodrosophila dimidiata,Mycodrosophila dimidiata,614350,ncbi:504596;gbif:1557553;irmng:10486887
Phortica variegata,Phortica variegata,545916,ncbi:462259;gbif:1560778
Scaptomyza crassifemur,Scaptomyza crassifemur,139455,ncbi:13053;gbif:1556830;irmng:10125569
Scaptomyza devexa,Scaptomyza devexa,4421048,ncbi:1334204;gbif:1556918;irmng:10567509
Scaptodrosophila bryani,Scaptodrosophila bryani,304074,ncbi:312271;gbif:1561708;irmng:10120867;irmng:10190263
Scaptodrosophila lebanonensis,Scaptodrosophila lebanonensis,505710,ncbi:7225;gbif:1561636;irmng:10428923;irmng:10993067
Scaptomyza gramium,Scaptomyza graminum,1052390,ncbi:106258;worms:987729;gbif:1557100;irmng:10715449;irmng:11068870;irmng:11030804
Scaptomyza infiatus,Scaptomyza inflatus,4421064,ncbi:1226668;gbif:1556806
Scaptomyza pallida,Scaptomyza pallida,534912,ncbi:7300;gbif:1556863
Zaprionus indianus,Zaprionus indianus,656969,ncbi:76712;gbif:1557446;irmng:10936476
Zaprionus inermis,Zaprionus inermis,51393,ncbi:30054;gbif:1557428;irmng:11142128
Zaprionus sepsoides,Zaprionus sepsoides,742413,ncbi:30056;gbif:1557402;irmng:10896699
Zaprionus tuberculatus,Zaprionus tuberculatus,930775,ncbi:7297;gbif:1557426;irmng:10936729
